id,ts,coin,horizon_hours,chosen_variant,chosen_p_up,lca_score,comparison_count,corrected_alpha,cleared_gate,k_sel,reason,prediction_ts,scores_json
12,1786968020380,BTC,24,original,0.4,0.75,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >42.3pts above 50%, best was original at +25.0pts on n=8) -- defaulting to Original k-NN.",1786968017401,
13,1786978822960,LINK,24,experimental,0.8071726992977077,0.9,6,0.008333333333333333,1,15,"experimental locally outperformed (90% correct on 10 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1786978815572,
14,1786978822992,LINK,12,original,0.2,0.8,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was experimental at +30.0pts on n=5) -- defaulting to Original k-NN.",1786978815757,
15,1786978823106,BTC,24,original,0.3333333333333333,0.75,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >42.3pts above 50%, best was original at +25.0pts on n=8) -- defaulting to Original k-NN.",1786978816559,
16,1786978823209,BTC,12,original,0.13333333333333333,0.75,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was original at +25.0pts on n=4) -- defaulting to Original k-NN.",1786978816323,
17,1786989620009,BTC,12,original,0.2,0.42857142857142855,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >45.2pts above 50%, best was calibrated at +-7.1pts on n=7) -- defaulting to Original k-NN.",1786989613803,
18,1786989620043,LINK,12,original,0.14285714285714285,0.4,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >30.0pts above 50%, best was calibrated at +-10.0pts on n=15) -- defaulting to Original k-NN.",1786989614566,
19,1786989620221,LINK,24,calibrated,0.8636363636363636,1,5,0.01,1,15,"calibrated locally outperformed (100% correct on 10 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 5 variant(s) compared.",1786989614326,
20,1786989620235,BTC,24,original,0.2,0.8,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was calibrated at +30.0pts on n=5) -- defaulting to Original k-NN.",1786989613981,
21,1787000416826,LINK,12,original,0.8333333333333334,0.5,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >37.9pts above 50%, best was experimental at +0.0pts on n=10) -- defaulting to Original k-NN.",1787000412982,
22,1787000416830,BTC,24,original,0.26666666666666666,0.7142857142857143,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >45.2pts above 50%, best was original at +21.4pts on n=7) -- defaulting to Original k-NN.",1787000412982,
23,1787000416954,BTC,12,original,0.7333333333333333,0.3333333333333333,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >69.1pts above 50%, best was challenger_calibrated at +-16.7pts on n=3) -- defaulting to Original k-NN.",1787000413208,
24,1787000416958,LINK,24,challenger_calibrated,0.875,1,6,0.008333333333333333,1,15,"challenger_calibrated locally outperformed (100% correct on 6 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787000412990,
25,1787011217783,LINK,12,original,0.8,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >69.1pts above 50%, best was experimental at +50.0pts on n=3) -- defaulting to Original k-NN.",1787011213429,
26,1787011217784,LINK,24,calibrated,0.8636363636363636,1,5,0.01,1,15,"calibrated locally outperformed (100% correct on 10 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 5 variant(s) compared.",1787011213236,
27,1787011218062,BTC,24,original,0.26666666666666666,0.6923076923076923,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >33.2pts above 50%, best was challenger_flat at +19.2pts on n=13) -- defaulting to Original k-NN.",1787011213819,
28,1787011218155,BTC,12,original,0.4666666666666667,0.5714285714285714,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >45.2pts above 50%, best was challenger_calibrated at +7.1pts on n=7) -- defaulting to Original k-NN.",1787011213612,
29,1787022015094,LINK,24,calibrated,0.7272727272727273,1,6,0.008333333333333333,1,15,"calibrated locally outperformed (100% correct on 10 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787022012565,
30,1787022015871,LINK,12,calibrated,0.5909090909090909,1,2,0.025,1,15,"calibrated locally outperformed (100% correct on 15 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 2 variant(s) compared.",1787022013202,
31,1787022015875,BTC,24,original,0.26666666666666666,0.6666666666666666,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >34.6pts above 50%, best was original at +16.7pts on n=12) -- defaulting to Original k-NN.",1787022012976,
32,1787022015977,BTC,12,original,0.4666666666666667,1,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >67.2pts above 50%, best was challenger_calibrated at +50.0pts on n=3) -- defaulting to Original k-NN.",1787022013204,
33,1787032819308,LINK,24,original,0.9333333333333333,0.7,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >36.8pts above 50%, best was calibrated at +20.0pts on n=10) -- defaulting to Original k-NN.",1787032813422,
34,1787032819455,LINK,12,original,0.8,0.2727272727272727,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >35.1pts above 50%, best was calibrated at +-22.7pts on n=11) -- defaulting to Original k-NN.",1787032813616,
35,1787032819770,BTC,12,original,0.4,0.75,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was original at +25.0pts on n=4) -- defaulting to Original k-NN.",1787032813616,
36,1787032819815,BTC,24,original,0.2,0.2,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was original at +-30.0pts on n=5) -- defaulting to Original k-NN.",1787032813616,
37,1787043616174,LINK,24,original,0.6666666666666666,0.1,1,0.05,0,15,"No variant's local edge cleared the significance bar (needed >26.0pts above 50%, best was original at +-40.0pts on n=10) -- defaulting to Original k-NN.",1787043612594,
38,1787043616454,LINK,12,challenger_calibrated,0.529,1,2,0.025,1,15,"challenger_calibrated locally outperformed (100% correct on 5 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 2 variant(s) compared.",1787043612827,
39,1787043617004,BTC,12,original,0.6,0.4,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >52.0pts above 50%, best was experimental at +-10.0pts on n=5) -- defaulting to Original k-NN.",1787043613243,
40,1787043617020,BTC,24,original,0.8666666666666667,1,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >67.2pts above 50%, best was original at +50.0pts on n=3) -- defaulting to Original k-NN.",1787043613243,
41,1787054417695,LINK,12,original,0.6,1,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >53.2pts above 50%, best was calibrated at +50.0pts on n=4) -- defaulting to Original k-NN.",1787054412864,
42,1787054417758,LINK,24,original,0.4,0.3333333333333333,2,0.025,0,15,"No variant's local edge cleared the significance bar (needed >40.0pts above 50%, best was original at +-16.7pts on n=6) -- defaulting to Original k-NN.",1787054413052,
43,1787054418618,BTC,24,original,0.26666666666666666,0.625,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >42.3pts above 50%, best was calibrated at +12.5pts on n=8) -- defaulting to Original k-NN.",1787054413076,
44,1787054418725,BTC,12,original,0.8666666666666667,0.3333333333333333,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >38.8pts above 50%, best was original at +-16.7pts on n=9) -- defaulting to Original k-NN.",1787054414140,
45,1787065219392,LINK,24,original,0.6,0.5,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >58.2pts above 50%, best was calibrated at +0.0pts on n=4) -- defaulting to Original k-NN.",1787065213621,
46,1787065219505,BTC,24,original,0.4666666666666667,1,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >61.4pts above 50%, best was original at +50.0pts on n=3) -- defaulting to Original k-NN.",1787065213154,
47,1787065219510,LINK,12,original,0.6,0.625,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >41.1pts above 50%, best was experimental at +12.5pts on n=8) -- defaulting to Original k-NN.",1787065213357,
48,1787065219549,BTC,12,original,0.7333333333333333,0.6363636363636364,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >35.1pts above 50%, best was calibrated at +13.6pts on n=11) -- defaulting to Original k-NN.",1787065212948,
49,1787076015780,LINK,24,original,0.8,0.25,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >41.1pts above 50%, best was original at +-25.0pts on n=8) -- defaulting to Original k-NN.",1787076012596,
50,1787076015955,LINK,12,original,0.8181818181818182,0.625,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >41.1pts above 50%, best was experimental at +12.5pts on n=8) -- defaulting to Original k-NN.",1787076012809,
51,1787076016091,BTC,12,original,0.3333333333333333,0.46153846153846156,4,0.0125,0,15,"No variant's local edge cleared the significance bar (needed >31.1pts above 50%, best was challenger_flat at +-3.8pts on n=13) -- defaulting to Original k-NN.",1787076013173,
52,1787076017316,BTC,24,original,0.4666666666666667,1,2,0.025,1,15,"original locally outperformed (100% correct on 13 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 2 variant(s) compared.",1787076013552,
53,1787086816692,LINK,24,original,0.6,0.5,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >58.2pts above 50%, best was calibrated at +0.0pts on n=4) -- defaulting to Original k-NN.",1787086812741,
54,1787086817267,LINK,12,original,1,0.6666666666666666,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >47.5pts above 50%, best was original at +16.7pts on n=6) -- defaulting to Original k-NN.",1787086812960,
55,1787086817404,BTC,12,original,0.7142857142857143,0.45454545454545453,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >32.1pts above 50%, best was original at +-4.5pts on n=11) -- defaulting to Original k-NN.",1787086813587,
56,1787097615730,LINK,24,original,0.6,0.5,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >41.1pts above 50%, best was original at +0.0pts on n=8) -- defaulting to Original k-NN.",1787097612425,
57,1787097616339,LINK,12,original,0.5333333333333333,0.7142857142857143,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >44.0pts above 50%, best was calibrated at +21.4pts on n=7) -- defaulting to Original k-NN.",1787097612638,
58,1787097616455,BTC,12,original,0.4,0.3333333333333333,2,0.025,0,15,"No variant's local edge cleared the significance bar (needed >56.6pts above 50%, best was original at +-16.7pts on n=3) -- defaulting to Original k-NN.",1787097613656,
59,1787097616977,BTC,24,challenger_flat,0.35,1,4,0.0125,1,15,"challenger_flat locally outperformed (100% correct on 13 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 4 variant(s) compared.",1787097613924,
60,1787108415946,LINK,24,challenger_calibrated,0.765,1,5,0.01,1,15,"challenger_calibrated locally outperformed (100% correct on 8 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 5 variant(s) compared.",1787108412497,
61,1787108416678,BTC,12,original,0.5333333333333333,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was challenger_calibrated at +50.0pts on n=5) -- defaulting to Original k-NN.",1787108413464,
62,1787108416752,LINK,12,original,0.737,0.75,4,0.0125,0,15,"No variant's local edge cleared the significance bar (needed >39.6pts above 50%, best was challenger_calibrated at +25.0pts on n=8) -- defaulting to Original k-NN.",1787108413464,
63,1787108416883,BTC,24,original,0.26666666666666666,1,4,0.0125,0,15,"No variant's local edge cleared the significance bar (needed >64.7pts above 50%, best was original at +50.0pts on n=3) -- defaulting to Original k-NN.",1787108413920,
64,1787119215068,LINK,24,original,0.26666666666666666,0.7777777777777778,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >39.9pts above 50%, best was challenger_calibrated at +27.8pts on n=9) -- defaulting to Original k-NN.",1787119212215,
65,1787119215090,LINK,12,calibrated,0.5833333333333334,0.9,6,0.008333333333333333,1,15,"calibrated locally outperformed (90% correct on 10 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787119212215,
66,1787119215450,BTC,12,original,0.4666666666666667,0.8333333333333334,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >47.5pts above 50%, best was challenger_calibrated at +33.3pts on n=6) -- defaulting to Original k-NN.",1787119212392,
67,1787119215947,BTC,24,original,0.4666666666666667,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was experimental at +50.0pts on n=5) -- defaulting to Original k-NN.",1787119212631,
68,1787130016780,LINK,12,original,0.3333333333333333,0.6923076923076923,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >33.2pts above 50%, best was calibrated at +19.2pts on n=13) -- defaulting to Original k-NN.",1787130012627,
69,1787130017167,LINK,24,original,0.9333333333333333,0.8,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was original at +30.0pts on n=5) -- defaulting to Original k-NN.",1787130012844,
70,1787130017593,BTC,12,original,0.4666666666666667,0.6666666666666666,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >39.9pts above 50%, best was calibrated at +16.7pts on n=9) -- defaulting to Original k-NN.",1787130013412,
71,1787130017831,BTC,24,original,0.5333333333333333,1,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >58.2pts above 50%, best was original at +50.0pts on n=4) -- defaulting to Original k-NN.",1787130013417,
72,1787140817821,LINK,12,original,0.4,0.5,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >42.3pts above 50%, best was original at +0.0pts on n=8) -- defaulting to Original k-NN.",1787140812710,
73,1787140818377,LINK,24,original,0,0.7,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >37.9pts above 50%, best was calibrated at +20.0pts on n=10) -- defaulting to Original k-NN.",1787140812909,
74,1787140818384,BTC,12,original,0.6666666666666666,0.625,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >42.3pts above 50%, best was challenger_calibrated at +12.5pts on n=8) -- defaulting to Original k-NN.",1787140814160,
75,1787140818593,BTC,24,original,0.8666666666666667,0.8333333333333334,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >47.5pts above 50%, best was challenger_flat at +33.3pts on n=6) -- defaulting to Original k-NN.",1787140814015,
76,1787151621678,LINK,12,original,0.6,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >69.1pts above 50%, best was original at +50.0pts on n=3) -- defaulting to Original k-NN.",1787151613925,
77,1787151621690,LINK,24,original,0.6666666666666666,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was challenger_calibrated at +50.0pts on n=4) -- defaulting to Original k-NN.",1787151613737,
78,1787151621691,BTC,12,original,0.4,0.8,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >52.0pts above 50%, best was original at +30.0pts on n=5) -- defaulting to Original k-NN.",1787151614322,
79,1787151622013,BTC,24,original,0.26666666666666666,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >69.1pts above 50%, best was challenger_calibrated at +50.0pts on n=3) -- defaulting to Original k-NN.",1787151614557,
80,1787162420264,LINK,12,experimental,0.6148060629213564,1,6,0.008333333333333333,1,15,"experimental locally outperformed (100% correct on 9 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787162413737,
81,1787162420359,BTC,24,challenger_flat,0.05,0.8333333333333334,4,0.0125,1,15,"challenger_flat locally outperformed (83% correct on 12 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 4 variant(s) compared.",1787162413737,
82,1787162420373,BTC,12,original,0.5333333333333333,0.6666666666666666,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >69.1pts above 50%, best was experimental at +16.7pts on n=3) -- defaulting to Original k-NN.",1787162413737,
83,1787162420412,LINK,24,calibrated,0.8888888888888888,1,6,0.008333333333333333,1,15,"calibrated locally outperformed (100% correct on 8 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787162413979,
84,1787173216792,BTC,12,original,0.5333333333333333,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was challenger_flat at +50.0pts on n=4) -- defaulting to Original k-NN.",1787173212767,
85,1787173216793,LINK,24,calibrated,0.6666666666666666,1,6,0.008333333333333333,1,15,"calibrated locally outperformed (100% correct on 9 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787173212942,
86,1787173217355,BTC,24,original,0,0.7692307692307693,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >33.2pts above 50%, best was experimental at +26.9pts on n=13) -- defaulting to Original k-NN.",1787173214012,
87,1787173217446,LINK,12,original,0.6,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was original at +50.0pts on n=4) -- defaulting to Original k-NN.",1787173213678,
88,1787184017716,BTC,24,original,0.26666666666666666,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was challenger_calibrated at +50.0pts on n=4) -- defaulting to Original k-NN.",1787184012623,
89,1787184017886,LINK,12,original,0.6,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was original at +50.0pts on n=4) -- defaulting to Original k-NN.",1787184012667,
90,1787184017896,LINK,24,experimental,0.5388939979593782,1,6,0.008333333333333333,1,15,"experimental locally outperformed (100% correct on 8 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787184012917,
91,1787184017961,BTC,12,original,0.4,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was original at +50.0pts on n=4) -- defaulting to Original k-NN.",1787184012899,
92,1787194817316,LINK,12,challenger_calibrated,0.667,1,3,0.016666666666666666,1,15,"challenger_calibrated locally outperformed (100% correct on 5 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 3 variant(s) compared.",1787194812869,
93,1787194817354,LINK,24,original,1,1,6,0.008333333333333333,1,15,"original locally outperformed (100% correct on 14 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787194812882,
94,1787194817695,BTC,12,original,0.26666666666666666,0.3333333333333333,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >47.5pts above 50%, best was experimental at +-16.7pts on n=6) -- defaulting to Original k-NN.",1787194813325,
95,1787194817757,BTC,24,original,0.8,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >59.9pts above 50%, best was challenger_calibrated at +50.0pts on n=4) -- defaulting to Original k-NN.",1787194813065,
96,1787205657122,LINK,12,original,1,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was challenger_calibrated at +50.0pts on n=5) -- defaulting to Original k-NN.",1787205651583,
97,1787205657192,LINK,24,challenger_calibrated,0.9,1,2,0.025,1,15,"challenger_calibrated locally outperformed (100% correct on 8 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 2 variant(s) compared.",1787205651695,
98,1787205657224,BTC,24,challenger_calibrated,0.593,1,6,0.008333333333333333,1,15,"challenger_calibrated locally outperformed (100% correct on 6 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787205651945,
99,1787205657269,BTC,12,original,0.13333333333333333,0.42857142857142855,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >44.0pts above 50%, best was original at +-7.1pts on n=7) -- defaulting to Original k-NN.",1787205652115,
100,1787208086044,LINK,24,challenger_calibrated,0.9,1,2,0.025,1,15,"challenger_calibrated locally outperformed (100% correct on 8 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 2 variant(s) compared.",1787208079886,
101,1787208086246,LINK,12,challenger_calibrated,0.762,1,6,0.008333333333333333,1,15,"challenger_calibrated locally outperformed (100% correct on 6 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787208080612,
102,1787208086829,BTC,24,challenger_calibrated,0.593,1,6,0.008333333333333333,1,15,"challenger_calibrated locally outperformed (100% correct on 6 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787208080944,
103,1787208087282,BTC,12,original,0.13333333333333333,0.42857142857142855,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >44.0pts above 50%, best was original at +-7.1pts on n=7) -- defaulting to Original k-NN.",1787208081545,
104,1787216456834,LINK,24,original,0.5333333333333333,0.625,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >41.1pts above 50%, best was original at +12.5pts on n=8) -- defaulting to Original k-NN.",1787216452323,
105,1787216456977,BTC,12,calibrated,0.5217391304347826,0.9230769230769231,6,0.008333333333333333,1,15,"calibrated locally outperformed (92% correct on 13 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787216452308,
106,1787216457001,BTC,24,original,0.4146341463414634,0,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >61.4pts above 50%, best was calibrated at +-50.0pts on n=3) -- defaulting to Original k-NN.",1787216452187,
107,1787216909649,LINK,24,original,0.5333333333333333,0.5,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >47.5pts above 50%, best was experimental at +0.0pts on n=6) -- defaulting to Original k-NN.",1787216904301,
108,1787216909688,LINK,12,original,1,0.8,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >52.0pts above 50%, best was experimental at +30.0pts on n=5) -- defaulting to Original k-NN.",1787216904247,
109,1787216910403,BTC,24,original,0.4146341463414634,0,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >61.4pts above 50%, best was calibrated at +-50.0pts on n=3) -- defaulting to Original k-NN.",1787216904395,
110,1787216910899,BTC,12,calibrated,0.5217391304347826,0.8461538461538461,6,0.008333333333333333,1,15,"calibrated locally outperformed (85% correct on 13 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 6 variant(s) compared.",1787216905080,
111,1787216919064,BTC,24,original,0.4146341463414634,0,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >61.4pts above 50%, best was calibrated at +-50.0pts on n=3) -- defaulting to Original k-NN.",1787216913340,
112,1787220113382,BTC,24,original,0.4146341463414634,0,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >53.2pts above 50%, best was calibrated at +-50.0pts on n=4) -- defaulting to Original k-NN.",1787220107731,
113,1787220113389,LINK,24,original,0.5333333333333333,1,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >52.0pts above 50%, best was calibrated at +50.0pts on n=5) -- defaulting to Original k-NN.",1787220107807,
114,1787220113634,LINK,12,original,1,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >69.1pts above 50%, best was challenger_calibrated at +50.0pts on n=3) -- defaulting to Original k-NN.",1787220108083,
115,1787220114410,BTC,12,original,0.13333333333333333,0.7857142857142857,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >32.0pts above 50%, best was calibrated at +28.6pts on n=14) -- defaulting to Original k-NN.",1787220108642,
116,1787220122113,BTC,24,original,0.4146341463414634,0,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >53.2pts above 50%, best was calibrated at +-50.0pts on n=4) -- defaulting to Original k-NN.",1787220116340,
117,1787220255597,BTC,24,original,0.4146341463414634,0,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >53.2pts above 50%, best was calibrated at +-50.0pts on n=4) -- defaulting to Original k-NN.",1787220249098,
118,1787220256803,LINK,12,original,1,0.8571428571428571,5,0.01,0,15,"No variant's local edge cleared the significance bar (needed >44.0pts above 50%, best was experimental at +35.7pts on n=7) -- defaulting to Original k-NN.",1787220251202,
119,1787220257035,LINK,24,calibrated,0.8620689655172413,1,5,0.01,1,15,"calibrated locally outperformed (100% correct on 6 same-direction matches among the 15 most similar historical moments), clearing the significance bar for 5 variant(s) compared.",1787220251407,
120,1787220257789,BTC,12,original,0.13333333333333333,0.8,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >30.9pts above 50%, best was calibrated at +30.0pts on n=15) -- defaulting to Original k-NN.",1787220252070,
121,1787220259082,BTC,24,original,0.4146341463414634,0,3,0.016666666666666666,0,15,"No variant's local edge cleared the significance bar (needed >53.2pts above 50%, best was calibrated at +-50.0pts on n=4) -- defaulting to Original k-NN.",1787220249098,
122,1787220264088,BTC,24,original,0.4146341463414634,0,1,0.05,0,15,"No variant's local edge cleared the significance bar (needed >41.1pts above 50%, best was calibrated at +-50.0pts on n=4) -- defaulting to Original k-NN.",1787220258363,
123,1787220272594,BTC,24,original,0.4146341463414634,0,1,0.05,0,15,"No variant's local edge cleared the significance bar (needed >41.1pts above 50%, best was calibrated at +-50.0pts on n=4) -- defaulting to Original k-NN.",1787220266866,
124,1787223318414,BTC,24,original,0.4634146341463415,0,2,0.025,0,15,"No variant's local edge cleared the significance bar (needed >49.0pts above 50%, best was calibrated at +-50.0pts on n=4) -- defaulting to Original k-NN.",1787223312525,
